graph20_25_2_0	 The submission presents evaluation of BendyPass, a prototype based on Bend Passwords design [33], with visually impaired people.	 NA
graph20_25_2_1	 The prototype is a simplified version of Bend Passwords [33] geared towards users who are visually impaired.	 NA
graph20_25_2_2	 The evaluation consisted of two sessions (taking place one week apart) in which participants first created their passwords and then used them to sign in.	 NA
graph20_25_2_3	 The experiment compared BendyPass with standard PIN security feature on touchscreen devices.	 NA
graph20_25_2_4	 The results show that although it took longer for participants to create their passwords with BendyPass, they were able to recall and enter them quicker with BendyPass than with PIN.	 NA
graph20_25_2_5	 This submission contributes new knowledge about how users who are visually impaired can enter passwords.	 POS
graph20_25_2_6	 The main strength of the paper is the experimental user study design with users who are visually impaired.	 POS
graph20_25_2_7	 It is particularly important to evaluate technology with target stakeholders.	 POS
graph20_25_2_8	 The paper is well written: the work is motivated well, the related work is mostly comprehensive, and the design and evaluation sections are clear and have enough detail for others to attempt to reproduce/replicate the study.	 POS
graph20_25_2_9	 However, there are two main weaknesses: 1) the submission narrowly focuses on bend passwords, and 2) the evaluation compares BendyPass against only one baseline.	 NEG
graph20_25_2_10	 The paper never justifies why Bend Passwords [33] is the best design to adapt for users who are visually impaired.	 NEG
graph20_25_2_11	 There are many other potential designs out there and the paper does not fully explore the potential design space before picking Bend Passwords [33].	 NEG
graph20_25_2_12	 For example, an equally feasible alternative is a design that uses a small physical numerical keyboard that users can carry with them and enter passwords even from their pockets (the haptic feedback that such a keyboard would enable would allow such interaction).	 NA
graph20_25_2_13	 Such alternative design is similar to BendyPass along many dimensions (e.g., users need to carry an additional device, but offers a more familiar interface).	 NA
graph20_25_2_14	 Other designs exist (e.g., work by Das et al. (2017) is just one example.	 NA
graph20_25_2_15	 Thus, the paper should better position the proposed design/prototype within this design space.	 NEG
graph20_25_2_16	 This brings up another issue: the PIN baseline is the current de facto standard, but other baselines (e.g., physical PIN from the previous paragraph) would position the work better and help justify use of BendyPass very different and unfamiliar interaction modality.	 NEG
graph20_25_2_17	 Also, entering PIN on touchscreen devices is notoriously difficult for people who are visually impaired, so it is no wonder that BendyPass outperforms it.	 NEG
graph20_25_2_18	 Thus, ideally the evaluation would compare other ways that participants can enter PIN passwords.	 NEG
graph20_25_2_19	 In summary, this is an interesting paper that will contribute to the GI community.	 NA
graph20_25_2_20	 Thus, I look forward to seeing this paper as part of the program.	 NA
graph20_25_2_21	 REFERENCES Sauvik Das, Gierad Laput, Chris Harrison, and Jason I. Hong.	 NA
graph20_25_2_23	 Thumprint: Socially-Inclusive Local Group Authentication Through Shared Secret Knocks.	 NA
graph20_25_2_24	 In Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems (CHI 17).	 NA
graph20_25_2_25	 Association for Computing Machinery, New York, NY, USA, 37643774.	 NA
graph20_26_3_0	 Thank you for submitting a revised version of this submission, and addressing concerns raised in the previous round of reviews.	 NA
graph20_26_3_1	 I reviewed the previous submission as R2.	 NA
graph20_26_3_2	 pseudo-url The submitted modifications show a marked improvement in the exposition of the work.	 POS
graph20_26_3_3	 In particular, clarifications around the motivation behind the path tracing task, and additional related work that have utilized path tracing to determine endpoints (e.g., [17], [18]) and to mark or detect features along a path (e.g., [66]) were helpful in positioning the contributions of this work in relation to prior work.	 POS
graph20_26_3_4	 I am satisfied with the changes in the modified manuscript, and changing am my recommendation to accept.	 POS
graph20_26_3_5	 However, I noted that there are several typos throughout the text, and I recommend a thorough editing pass for the camera ready.	 NEG
graph20_26_3_6	 For example, page 3: HoloLense -> Hololens. "	 NA
graph20_29_3_0	 Through four studies, this paper proposes to lift a theoretical limitation in the application range of the Dual Gaussian Distribution Model, namely that it could also work when touch acquisition occurs from a touchscreen to that same touchscreen.	 NA
graph20_29_3_1	 This paper is well written and shows good experiment design and consistent analyses.	 POS
graph20_29_3_2	 However I found the theoretical argument to use the DGDM in screen-to-screen pointing quite hard to follow, even though it is the main point of this article.	 NEG
graph20_29_3_3	 I also have a number of concerns that I would like to see addressed in a revision.	 NEG
graph20_29_3_4	 BLAMING AGE Honestly, I found it quite a weak argument to put the lack of generalization of the approach on age (p. 10).	 NEG
graph20_29_3_5	 Age difference is one among many possible explanations, but one in which this paper rushes in nevertheless, at the expense of any other.	 NEG
